id,gfrid,last_modified,input_voltage,input_fault_voltage,output_voltage,max_output_current_percentage,input_frequency,battery_voltage,temp,ts,alert,utility_no_failure,battery_not_low,bypass_inactive,ups_no_failure,ups_online,no_test,shutdown_inactive,beeper_on
8669,6,18-07-2025 10:26,146.4454886,219.6,297.1098742,127.6504286,30.35327588,15.21685768,52.38664029,1693125488,1,0,0,0,0,0,0,0,0
1115,6,18-07-2025 14:52,138.5085274,219.6,237.6846135,135.4809314,47.29968822,6.345393592,11.2348534,1692366100,1,0,0,0,0,0,0,0,0
11165,6,18-07-2025 05:33,128.3145971,219.6,116.0050407,141.5542219,66.72516811,6.725094848,10.22298069,1693344909,1,0,0,0,0,0,0,0,0
12659,6,18-07-2025 20:24,230,219.6,190,0,34.98545935,12,32.92928961,1693464492,1,0,0,0,0,0,0,0,0
5253,6,18-07-2025 05:05,230,219.6,190,0,67.71340439,12,26.51378838,1692696823,1,0,0,0,0,0,0,0,0
19485,6,18-07-2025 10:36,230,219.6,190,96.46053855,52.1600874,12,50.6311799,1694014518,1,0,0,0,0,0,0,0,0
7460,6,18-07-2025 05:05,294.3113025,219.6,260.4416697,0,65.55778941,14.71595099,51.79741695,1692873226,1,0,0,0,0,0,0,0,0
9120,6,18-07-2025 10:28,102.0729003,219.6,288.1624845,135.9443018,67.29122219,13.31428423,58.00935121,1693161550,1,0,0,0,0,0,0,0,0
10213,6,18-07-2025 00:36,299.9942544,219.6,161.3942208,92,31.24559589,11.8,36.6,1693268950,1,0,0,0,0,0,0,0,0
19939,6,18-07-2025 10:36,224.6291305,219.6,222.0032924,96,43.14945556,11.8,37.8,1694050759,1,0,0,0,0,0,0,0,0
16768,6,18-07-2025 10:27,278.8160599,219.6,210.1735259,97,30.55031698,11.8,38.1,1693795098,1,0,0,0,0,0,0,0,0
12250,6,18-07-2025 15:29,220,219.6,225,60,50,11.2,53.27210903,1693431853,1,0,0,0,0,0,0,0,0
13928,6,18-07-2025 10:31,220,219.6,225,60,50,11.2,15.62989799,1693567453,1,0,0,0,0,0,0,0,0
10499,6,18-07-2025 20:27,220,219.6,225,60,50,11.1,16.58265117,1693291750,1,0,0,0,0,0,0,0,0
6518,6,18-07-2025 14:52,220,219.6,225,60,50,11,27.97542021,1692798046,1,0,0,0,0,0,0,0,0
972,6,18-07-2025 04:46,220,219.6,225,60,50,11.2,14.38087723,1692354640,1,0,0,0,0,0,0,0,0
16580,6,18-07-2025 00:21,220,219.6,225,60,50,11.1,10.92760024,1693779975,1,0,0,0,0,0,0,0,0
17836,6,18-07-2025 05:28,220,219.6,225,60,50,11,10.02141699,1693881136,1,0,0,0,0,0,0,0,0
9957,6,18-07-2025 20:21,220,219.6,225,60,50,10.9,16.35918551,1693248489,1,0,0,0,0,0,0,0,0
15875,6,18-07-2025 20:26,220,219.6,225,60,50,10.8,31.40581239,1693723636,1,0,0,0,0,0,0,0,0
17289,6,18-07-2025 00:21,220,219.6,225,60,50,10.7,11.25798663,1693837575,1,0,0,0,0,0,0,0,0
7555,6,18-07-2025 10:13,220,219.6,225,60,50,10.6,38,1692880787,1,0,0,0,0,0,0,0,0
18020,6,18-07-2025 10:27,220,219.6,225,60,50,10.5,19.47761633,1693895836,1,0,0,0,0,0,0,0,0
3025,6,18-07-2025 16:03,220,219.6,225,60,50,10.4,13.51735701,1692518744,1,0,0,0,0,0,0,0,0
5484,6,18-07-2025 14:50,220,219.6,225,60,50,10.3,29.45858335,1692715303,1,0,0,0,0,0,0,0,0
1420,6,18-07-2025 05:00,220,219.6,225,60,50,10.4,11.09352167,1692390403,1,0,0,0,0,0,0,0,0
6210,6,18-07-2025 20:03,220,219.6,225,60,50,10.3,53.81435559,1692773328,1,0,0,0,0,0,0,0,0
16236,6,18-07-2025 20:20,158.8450061,219.6,168.0776622,0,61.50311648,6.965144688,49.93238348,1693752436,1,0,0,0,0,0,0,0,0
17709,6,18-07-2025 15:33,283.8057981,219.6,227.3204434,42.13853159,61.8693631,7.562210497,48.99947044,1693871056,1,0,0,0,0,0,0,0,0
14661,6,18-07-2025 15:37,286.1079989,219.6,256.9198087,141.3320182,30.31661194,11.10254698,52.09969541,1693626313,1,0,0,0,0,0,0,0,0
