last_modified,battery_voltage,input_voltage,output_voltage,input_frequency,max_output_current_percentage,temp,iso_anomaly,iso_score,failure_iso
2025-07-18 10:36:00,11.8,224.6291305,222.0032924,43.14945556,96.0,37.8,1.0,0.051263786861798666,Normal
2025-07-18 10:27:00,11.8,278.8160599,210.1735259,30.55031698,97.0,38.1,1.0,0.05447108375902687,Normal
2025-07-18 15:29:00,11.2,220.0,225.0,50.0,60.0,53.27210903,1.0,0.0211154363595768,Normal
2025-07-18 10:31:00,11.2,220.0,225.0,50.0,60.0,15.62989799,1.0,0.013138140280184452,Normal
2025-07-18 20:27:00,11.1,220.0,225.0,50.0,60.0,16.58265117,1.0,0.03079677161922756,Normal
2025-07-18 14:52:00,11.0,220.0,225.0,50.0,60.0,27.97542021,1.0,0.03723192556627536,Normal
2025-07-18 04:46:00,11.2,220.0,225.0,50.0,60.0,14.38087723,1.0,0.04510655398632757,Normal
2025-07-18 00:21:00,11.1,220.0,225.0,50.0,60.0,10.92760024,1.0,0.02287664756100105,Normal
2025-07-18 05:28:00,11.0,220.0,225.0,50.0,60.0,10.02141699,-1.0,-0.03573511426191939,Unknown Anomaly
2025-07-18 20:21:00,10.9,220.0,225.0,50.0,60.0,16.35918551,-1.0,-0.04779242495945496,Unknown Anomaly
2025-07-18 20:26:00,10.8,220.0,225.0,50.0,60.0,31.40581239,-1.0,-0.08502040696257568,Unknown Anomaly
2025-07-18 00:21:00,10.7,220.0,225.0,50.0,60.0,11.25798663,1.0,0.03903663412763325,Normal
2025-07-18 10:13:00,10.6,220.0,225.0,50.0,60.0,38.0,1.0,0.04814931268332662,Normal
2025-07-18 10:27:00,10.5,220.0,225.0,50.0,60.0,19.47761633,1.0,0.05077666684513843,Normal
2025-07-18 16:03:00,10.4,220.0,225.0,50.0,60.0,13.51735701,1.0,0.047593496880370456,Normal
2025-07-18 14:50:00,10.3,220.0,225.0,50.0,60.0,29.45858335,1.0,0.04589567149568796,Normal
2025-07-18 05:00:00,10.4,220.0,225.0,50.0,60.0,11.09352167,1.0,0.044681392536533304,Normal
2025-07-18 20:03:00,10.3,220.0,225.0,50.0,60.0,53.81435559,1.0,0.06750913771630562,Normal
2025-07-18 20:20:00,6.965144688,158.8450061,168.0776622,61.50311648,0.0,49.93238348,-1.0,-0.07137284339663946,Unknown Anomaly
2025-07-18 15:33:00,7.562210497,283.8057981,227.3204434,61.8693631,42.13853159,48.99947044,-1.0,-0.01266780023854669,Unknown Anomaly
2025-07-18 15:37:00,11.10254698,286.1079989,256.9198087,30.31661194,141.3320182,52.09969541,1.0,0.02824595416672654,Normal
2025-07-18 14:58:00,7.27895001,109.435516,129.2467196,68.32958121,127.1123875,58.00629348,1.0,0.03789699391896062,Normal
2025-07-18 15:05:00,12.0,230.0,250.0,30.52604078,0.0,44.43481406,1.0,0.05027144951844498,Normal
2025-07-18 05:16:00,12.0,230.0,190.0,60.43936092,0.0,12.0199311,1.0,0.05463156978133077,Normal
2025-07-18 15:23:00,12.0,230.0,250.0,32.05188104,0.0,47.76954968,1.0,0.030369744749923655,Normal
2025-07-18 14:50:00,12.0,230.0,250.0,58.45650084,131.7234951,15.40260658,1.0,0.04437743348344697,Normal
2025-07-18 14:54:00,12.0,230.0,190.0,34.64962931,108.0059158,16.94088183,1.0,0.035437366005182935,Normal
2025-07-18 00:09:00,15.44853149,133.801097,136.5200685,43.22075924,140.1444133,10.78582851,1.0,0.049965312499038184,Normal
2025-07-18 00:21:00,7.750911948,108.9901141,154.8986019,36.23212927,106.2535652,53.062445,1.0,0.021844766467929433,Normal
2025-07-18 10:40:00,8.597884645,282.5991007,263.4176986,52.74493131,0.0,44.04035755,1.0,0.040106963250548855,Normal
2025-07-18 10:24:00,8.851683799,114.7073815,253.5521905,61.84805497,0.0,57.44661395,1.0,0.055849560158606426,Normal
2025-07-18 00:30:00,11.2,220.0,225.0,50.0,60.0,36.0,1.0,0.06103860139674028,Normal
2025-07-18 10:23:00,11.1,220.0,225.0,50.0,60.0,36.9,1.0,0.09026066363135254,Normal
2025-07-18 04:55:00,11.2,220.0,225.0,50.0,60.0,37.2,1.0,0.0906207557717425,Normal
2025-07-18 20:27:00,11.1,220.0,225.0,50.0,60.0,40.34578133,1.0,0.08400153687864947,Normal
2025-07-18 00:33:00,11.0,220.0,225.0,50.0,60.0,10.47377422,1.0,0.07868289143473767,Normal
2025-07-18 15:27:00,10.9,220.0,225.0,50.0,60.0,17.03306283,1.0,0.08104388154414682,Normal
2025-07-18 19:55:00,10.8,220.0,225.0,50.0,60.0,30.64123727,1.0,0.04618180108416564,Normal
2025-07-18 20:03:00,11.2,220.0,225.0,50.0,60.0,10.50494542,-1.0,-0.00201810235230937,Unknown Anomaly
2025-07-18 15:23:00,11.2,220.0,225.0,50.0,60.0,16.76661455,-1.0,-0.08275034471980497,Unknown Anomaly
2025-07-18 05:23:00,11.1,220.0,225.0,50.0,60.0,10.68701021,1.0,0.051048709034289264,Normal
2025-07-18 15:39:00,11.2,220.0,225.0,50.0,60.0,32.70307873,1.0,0.05441044431189718,Normal
2025-07-18 04:59:00,11.2,220.0,225.0,50.0,60.0,36.0,1.0,0.05206777325840145,Normal
2025-07-18 20:41:00,11.1,220.0,225.0,50.0,60.0,37.2,1.0,0.05441044431189718,Normal
2025-07-18 19:51:00,11.0,220.0,225.0,50.0,60.0,37.8,1.0,0.04675816668632776,Normal
2025-07-18 09:53:00,10.9,220.0,225.0,50.0,60.0,38.1,1.0,0.05903963615545482,Normal
2025-07-18 05:08:00,10.8,220.0,225.0,50.0,60.0,38.4,1.0,0.06957824970359378,Normal
2025-07-18 20:07:00,10.7,220.0,225.0,50.0,60.0,38.7,1.0,0.0708224953733203,Normal
2025-07-18 00:41:00,10.6,220.0,225.0,50.0,60.0,29.71563921,1.0,0.06800506705407777,Normal
2025-07-18 10:27:00,10.5,220.0,225.0,50.0,60.0,54.31122158,1.0,0.08242168335847427,Normal
2025-07-18 04:59:00,10.4,220.0,225.0,50.0,60.0,41.55727718,1.0,0.038629383257476724,Normal
2025-07-18 14:58:00,10.3,220.0,225.0,50.0,60.0,18.36292887,1.0,0.08192691819098391,Normal
2025-07-18 00:00:00,6.482939474,161.7722803,119.5254855,41.15584757,0.0,47.82110079,-1.0,-0.0711539646661506,Battery Degradation
2025-07-18 00:29:00,11.0,220.0,255.3673288,60.36110058,60.0,15.35880302,-1.0,-0.04111767186752752,Output Voltage Issue
2025-07-18 19:50:00,10.95,220.0,238.3660197,52.05689251,60.0,32.54930389,-1.0,-0.040300580156989285,Unknown Anomaly
2025-07-18 09:55:00,10.85,220.0,191.680818,62.54978093,60.0,32.58265031,-1.0,-0.036326515512414004,Output Voltage Issue
2025-07-18 15:44:00,10.8,220.0,217.3405943,49.3086032,60.0,19.56829844,-1.0,-0.03976473157911825,Unknown Anomaly
2025-07-18 04:45:00,10.75,220.0,235.5003295,63.07092551,60.0,33.43445474,-1.0,-0.040704436578983205,Unknown Anomaly
2025-07-18 09:56:00,10.65,220.0,261.177194,36.89617078,60.0,47.42931364,-1.0,-0.03522926887944117,Output Voltage Issue
2025-07-18 10:06:00,10.6,220.0,224.778998,67.53267207,60.0,26.165169,-1.0,-0.03654413157481101,Unknown Anomaly
2025-07-18 04:50:00,6.420110972,107.6753533,131.0571582,49.99560762,129.623646,14.98411801,1.0,0.027737031242384858,Normal
2025-07-18 14:51:00,15.03478155,272.4181958,232.0492696,59.49160762,0.0,52.88903638,1.0,0.06654488638985134,Normal
